# timestamps [seconds],pts
11241.004851,543422
11241.017325,544239
11241.028266,544956
11241.046126,546127
11241.067252,547511
11241.079741,548330
11241.101088,549729
11241.120444,550997
11241.121764,551084
11241.131194,551702
11241.151228,553015
11241.158614,553499
11241.183402,555123
11241.187476,555390
11241.217040,557327
11241.217703,557371
11241.236647,558612
11241.258452,560041
11241.278288,561341
11241.289206,562057
11241.307967,563286
11241.316413,563840
11241.325942,564464
11241.357482,566531
11241.358199,566578
11241.380095,568013
11241.400939,569379
11241.413291,570189
11241.424429,570919
11241.444098,572208
11241.452017,572727
11241.462775,573432
11241.491568,575319
11241.510565,576564
11241.522490,577345
11241.537474,578327
11241.548422,579045
11241.558417,579700
11241.592963,581964
11241.593642,582008
11241.621321,583822
11241.643439,585272
11241.653075,585903
11241.664115,586627
11241.696021,588718
11241.714835,589950
11241.746138,592002
11241.747336,592080
11241.766272,593321
11241.779036,594158
11241.787520,594714
11241.809157,596132
11241.830054,597501
11241.849371,598767
11241.858580,599371
11241.882048,600909
11241.889678,601409
11241.900412,602112
11241.922057,603531
11241.931006,604117
11241.960318,606038
11241.960768,606068
11241.991843,608104
11241.992491,608147
11242.013640,609533
11242.022612,610121
11242.030654,610648
11242.065466,612929
11242.079222,613831
11242.088431,614434
11242.104987,615519
11242.128630,617069
11242.150443,618498
11242.160971,619188
11242.182890,620625
11242.193366,621311
11242.207511,622238
11242.223906,623312
11242.234458,624004
11242.250670,625066
11242.269911,626327
11242.285765,627366
11242.294997,627971
11242.316290,629367
11242.325614,629978
11242.347037,631382
11242.362631,632404
11242.385542,633905
11242.396864,634647
11242.425856,636547
11242.429411,636780
11242.454253,638408
11242.456412,638550
11242.480490,640128
11242.489340,640708
11242.497939,641271
11242.532713,643550
11242.533194,643582
11242.547606,644526
11242.565245,645682
11242.575675,646366
11242.585845,647032
11242.616988,649073
11242.626044,649667
11242.641074,650652
11242.655982,651629
11242.678771,653122
11242.689581,653831
11242.697783,654368
11242.726088,656223
11242.726630,656258
11242.743247,657347
11242.761443,658540
11242.776579,659532
11242.784224,660033
11242.802435,661226
11242.820509,662411
11242.859160,664944
11242.859763,664983
11242.879172,666255
11242.893004,667162
11242.913313,668493
11242.939551,670212
11242.949683,670876
11242.957358,671379
11242.987906,673381
11242.988371,673412
11242.999671,674152
11243.022696,675661
11243.044150,677067
11243.059805,678093
11243.089522,680041
11243.090392,680098
11243.101035,680795
11243.122489,682201
11243.131926,682820
11243.161971,684789
11243.162718,684838
11243.190749,686675
11243.220282,688610
11243.230979,689311
11243.249556,690528
11243.257918,691076
11243.276084,692267
11243.293089,693381
11243.311400,694581
11243.320555,695181
11243.339057,696394
11243.346991,696914
11243.367819,698279
11243.389746,699716
11243.396872,700183
11243.408148,700922
11243.425269,702044
11243.441397,703101
11243.452445,703825
11243.471076,705046
11243.480712,705677
11243.490958,706349
11243.518797,708173
11243.526465,708676
11243.547301,710041
11243.565512,711235
11243.579810,712172
11243.588339,712731
11243.608870,714076
11243.629324,715417
11243.646063,716514
11243.655692,717145
11243.672667,718257
11243.681830,718858
11243.715277,721049
11243.719313,721314
11243.739882,722662
11243.752593,723495
11243.783690,725533
11243.792723,726125
11243.808478,727157
11243.826117,728313
11243.842757,729404
11243.851569,729981
11243.867301,731012
11243.910971,733874
11243.923583,734701
11243.933676,735362
11243.955130,736768
11243.962973,737282
11243.982695,738575
11244.014639,740668
11244.024329,741303
11244.039961,742328
11244.056372,743403
11244.066428,744062
11244.078589,744859
11244.094344,745892
11244.106902,746715
11244.117087,747382
11244.132636,748401
11244.154967,749865
11244.162802,750378
11244.191123,752234
11244.208685,753385
11244.216956,753927
11244.225623,754495
11244.259329,756704
11244.260260,756765
11244.274329,757687
11244.296439,759136
11244.322699,760857
11244.331351,761424
11244.353949,762905
11244.361449,763396
11244.382018,764744
11244.411910,766703
11244.430647,767931
11244.449965,769197
11244.467391,770339
11244.479651,771143
11244.490309,771841
11244.513503,773361
11244.524916,774109
11244.534308,774725
11244.553687,775995
11244.563696,776651
11244.583937,777977
11244.609442,779649
11244.618949,780272
11244.652274,782456
11244.669661,783595
11244.686835,784721
11244.695998,785321
11244.719367,786852
11244.744460,788497
11244.754256,789139
11244.771391,790262
11244.795279,791827
11244.809783,792778
11244.820555,793484
11244.857619,795913
11244.858229,795953
11244.867293,796547
11244.889441,797998
11244.898528,798594
11244.929679,800635
11244.930808,800709
11244.949538,801937
11244.967116,803089
11244.982993,804129
11244.992674,804764
11245.009574,805871
11245.027724,807061
11245.059393,809136
11245.076438,810253
11245.085478,810846
11245.100730,811845
11245.139166,814364
11245.148116,814951
11245.170744,816434
11245.179503,817008
11245.199378,818310
11245.221610,819767
11245.222106,819799
11245.231619,820423
11245.262953,822476
11245.263297,822499
11245.284949,823918
11245.322791,826398
11245.347563,828021
