index,timestamp,label,duration,id,objectType
881,22313.460161487823,Looking At,0.0,5,Obstacle
882,22313.46997288919,Looking At,0.0,5,Obstacle
883,22313.48118809915,Looking At,0.0,5,Obstacle
884,22313.495897571807,Looking At,0.0,5,Obstacle
885,22313.505708973174,Looking At,0.0,5,Obstacle
890,22313.587908069854,Spawning,0.0,6,Obstacle
904,22313.840791980987,Looking At,0.0,5,Obstacle
905,22313.854219715362,Looking At,0.0,5,Obstacle
906,22313.895632068878,Looking At,0.0,5,Obstacle
906,22313.905611316924,Looking At,0.0,5,Obstacle
907,22313.914018909698,Looking At,0.0,5,Obstacle
908,22313.955934803253,Looking At,0.0,5,Obstacle
909,22313.965303699737,Looking At,0.0,5,Obstacle
910,22314.008775989776,Looking At,0.0,5,Obstacle
911,22314.025911609893,Looking At,0.0,5,Obstacle
912,22314.052751819854,Looking At,0.0,5,Obstacle
913,22314.07609776712,Looking At,0.0,5,Obstacle
915,22314.118624012237,Looking At,0.0,5,Obstacle
916,22314.143068592315,Intercepted,0.0,5,Obstacle
939,22314.959642688995,Looking At,0.0,6,Obstacle
939,22315.004549305206,Looking At,0.0,6,Obstacle
940,22315.03196934915,Looking At,0.0,6,Obstacle
941,22315.06765965677,Looking At,0.0,6,Obstacle
941,22315.111513416534,Looking At,0.0,6,Obstacle
942,22315.14898900247,Looking At,0.0,6,Obstacle
943,22315.172365467315,Looking At,0.0,6,Obstacle
944,22315.206987659698,Looking At,0.0,6,Obstacle
946,22315.25674657083,Looking At,0.0,6,Obstacle
946,22315.265825550323,Looking At,0.0,6,Obstacle
947,22315.28151158548,Looking At,0.0,6,Obstacle
948,22315.303362171417,Looking At,0.0,6,Obstacle
948,22315.329607288604,Looking At,0.0,6,Obstacle
949,22315.367845813995,Looking At,0.0,6,Obstacle
950,22315.376817981964,Looking At,0.0,6,Obstacle
951,22315.39720372415,Looking At,0.0,6,Obstacle
952,22315.42621068216,Looking At,0.0,6,Obstacle
953,22315.43792943216,Looking At,0.0,6,Obstacle
958,22315.597185413604,Spawning,0.0,7,Obstacle
964,22315.720888416534,Looking At,0.0,6,Obstacle
965,22315.738786976104,Looking At,0.0,6,Obstacle
966,22315.760088245635,Looking At,0.0,6,Obstacle
967,22315.8096640513,Looking At,0.0,6,Obstacle
968,22315.8301718638,Looking At,0.0,6,Obstacle
970,22315.881334583526,Looking At,0.0,6,Obstacle
971,22315.916841785674,Looking At,0.0,6,Obstacle
973,22315.999971668487,Looking At,0.0,6,Obstacle
990,22316.434908191924,Looking At,0.0,6,Obstacle
992,22316.472795765167,Looking At,0.0,6,Obstacle
998,22316.598970691924,Looking At,0.0,7,Obstacle
999,22316.621126453643,Looking At,0.0,7,Obstacle
1000,22316.655458729034,Looking At,0.0,7,Obstacle
1001,22316.684938709503,Looking At,0.0,7,Obstacle
1002,22316.712740223174,Looking At,0.0,7,Obstacle
1004,22316.776827137237,Looking At,0.0,7,Obstacle
1005,22316.81146458841,Looking At,0.0,7,Obstacle
1006,22316.832674305206,Looking At,0.0,7,Obstacle
1006,22316.848772327667,Looking At,0.0,7,Obstacle
1008,22316.889833729034,Looking At,0.0,7,Obstacle
1009,22316.916002552276,Looking At,0.0,7,Obstacle
1015,22317.032106678253,Looking At,0.0,6,Obstacle
1015,22317.04600743509,Looking At,0.0,6,Obstacle
1016,22317.0910513804,Looking At,0.0,6,Obstacle
1016,22317.091356556182,Intercepted,0.0,6,Obstacle
1017,22317.114733021026,Looking At,0.0,6,Obstacle
1019,22317.17390660501,Looking At,0.0,6,Obstacle
1028,22317.351366321807,Looking At,0.0,7,Obstacle
1028,22317.358370105987,Looking At,0.0,7,Obstacle
1029,22317.380205433135,Looking At,0.0,7,Obstacle
1032,22317.48366002298,Looking At,0.0,7,Obstacle
1033,22317.519655506378,Looking At,0.0,7,Obstacle
1037,22317.630022327667,Looking At,0.0,7,Obstacle
1037,22317.630495350128,Spawning,0.0,8,Obstacle
1038,22317.6397421763,Looking At,0.0,7,Obstacle
1038,22317.651705066924,Looking At,0.0,7,Obstacle
1040,22317.68092564798,Looking At,0.0,7,Obstacle
1041,22317.70094517923,Looking At,0.0,7,Obstacle
1042,22317.71718053079,Looking At,0.0,7,Obstacle
1044,22317.750963489776,Looking At,0.0,7,Obstacle
1046,22317.80836705423,Looking At,0.0,7,Obstacle
1054,22318.01231602884,Intercepted,0.0,7,Obstacle
1061,22318.158556263214,Looking At,0.0,7,Obstacle
1062,22318.182009022003,Looking At,0.0,7,Obstacle
1063,22318.20613316751,Looking At,0.0,7,Obstacle
1069,22318.36368016458,Looking At,0.0,8,Obstacle
1070,22318.412721912628,Looking At,0.0,8,Obstacle
1072,22318.446413318878,Looking At,0.0,8,Obstacle
1073,22318.460268299346,Looking At,0.0,8,Obstacle
1074,22318.47973851419,Looking At,0.0,8,Obstacle
1075,22318.51031712747,Looking At,0.0,8,Obstacle
1075,22318.51960973001,Looking At,0.0,8,Obstacle
1076,22318.545763294464,Looking At,0.0,8,Obstacle
1077,22318.566286365753,Looking At,0.0,8,Obstacle
1078,22318.588579456573,Looking At,0.0,8,Obstacle
1081,22318.622759144073,Looking At,0.0,8,Obstacle
1083,22318.704805652862,Looking At,0.0,8,Obstacle
1100,22319.109194080596,Looking At,0.0,8,Obstacle
1120,22319.633180897003,Spawning,0.0,9,Obstacle
1127,22319.753084461456,Intercepted,0.0,8,Obstacle
1146,22320.2121451304,Looking At,0.0,9,Obstacle
1146,22320.22844151712,Looking At,0.0,9,Obstacle
1173,22320.871263782745,Looking At,0.0,9,Obstacle
1174,22320.89250401712,Looking At,0.0,9,Obstacle
1175,22320.912554065948,Looking At,0.0,9,Obstacle
1177,22320.963365833526,Looking At,0.0,9,Obstacle
1178,22320.97760228372,Looking At,0.0,9,Obstacle
1178,22320.9992545054,Looking At,0.0,9,Obstacle
1179,22321.02189854837,Looking At,0.0,9,Obstacle
1180,22321.048143665557,Looking At,0.0,9,Obstacle
1181,22321.090029041534,Looking At,0.0,9,Obstacle
1183,22321.135408680206,Looking At,0.0,9,Obstacle
1195,22321.405611316924,Looking At,0.0,9,Obstacle
1197,22321.439607898956,Looking At,0.0,9,Obstacle
1198,22321.45059422708,Looking At,0.0,9,Obstacle
1199,22321.481249134307,Looking At,0.0,9,Obstacle
1200,22321.52191380716,Looking At,0.0,9,Obstacle
1201,22321.541994373565,Looking At,0.0,9,Obstacle
1204,22321.633653919464,Looking At,0.0,9,Obstacle
1204,22321.634126941924,Spawning,0.0,10,Obstacle
1212,22321.793978016143,Intercepted,0.0,9,Obstacle
1235,22322.362428943878,Looking At,0.0,10,Obstacle
1236,22322.390337269073,Looking At,0.0,10,Obstacle
1237,22322.41542271829,Looking At,0.0,10,Obstacle
1238,22322.437502186065,Looking At,0.0,10,Obstacle
1239,22322.45533971048,Looking At,0.0,10,Obstacle
1240,22322.469759266143,Looking At,0.0,10,Obstacle
1242,22322.489870350128,Looking At,0.0,10,Obstacle
1243,22322.51263646341,Looking At,0.0,10,Obstacle
1244,22322.53103856302,Looking At,0.0,10,Obstacle
1244,22322.553072254424,Looking At,0.0,10,Obstacle
1247,22322.596880237823,Looking At,0.0,10,Obstacle
1248,22322.613771717315,Looking At,0.0,10,Obstacle
1248,22322.622606556182,Looking At,0.0,10,Obstacle
1248,22322.64137486673,Looking At,0.0,10,Obstacle
1250,22322.689913074737,Looking At,0.0,10,Obstacle
1250,22322.697771351104,Looking At,0.0,10,Obstacle
1251,22322.746797840362,Looking At,0.0,10,Obstacle
1252,22322.770143787628,Looking At,0.0,10,Obstacle
1253,22322.81961278177,Looking At,0.0,10,Obstacle
1254,22322.845735828643,Looking At,0.0,10,Obstacle
1255,22322.855333606964,Looking At,0.0,10,Obstacle
1256,22322.866869251495,Looking At,0.0,10,Obstacle
1257,22322.897096912628,Looking At,0.0,10,Obstacle
1257,22322.908876697784,Looking At,0.0,10,Obstacle
1258,22322.931474964385,Looking At,0.0,10,Obstacle
1258,22322.95469884134,Looking At,0.0,10,Obstacle
1260,22322.98871068216,Looking At,0.0,10,Obstacle
1261,22323.00528172708,Looking At,0.0,10,Obstacle
1262,22323.02235631204,Looking At,0.0,10,Obstacle
1264,22323.11126927591,Looking At,0.0,10,Obstacle
1265,22323.122606556182,Looking At,0.0,10,Obstacle
1266,22323.180712024932,Looking At,0.0,10,Obstacle
1267,22323.2090781138,Looking At,0.0,10,Obstacle
1269,22323.24257115579,Looking At,0.0,10,Obstacle
1271,22323.26033238626,Looking At,0.0,10,Obstacle
1271,22323.269579212432,Looking At,0.0,10,Obstacle
1272,22323.290865223174,Looking At,0.0,10,Obstacle
1272,22323.311342518096,Looking At,0.0,10,Obstacle
1273,22323.34153966165,Looking At,0.0,10,Obstacle
1274,22323.357134144073,Looking At,0.0,10,Obstacle
1275,22323.37932042337,Looking At,0.0,10,Obstacle
1276,22323.406374256378,Looking At,0.0,10,Obstacle
1279,22323.449724476104,Looking At,0.0,10,Obstacle
1291,22323.763506214385,Looking At,0.0,10,Obstacle
1292,22323.780412952667,Looking At,0.0,10,Obstacle
1292,22323.80262974954,Looking At,0.0,10,Obstacle
1293,22323.827135364776,Looking At,0.0,10,Obstacle
1296,22323.881181995635,Looking At,0.0,10,Obstacle
1296,22323.891634266143,Looking At,0.0,10,Obstacle
1297,22323.899706165557,Looking At,0.0,10,Obstacle
1298,22323.941759388214,Looking At,0.0,10,Obstacle
1320,22324.446764271026,Looking At,0.0,10,Obstacle
1320,22324.456713001495,Looking At,0.0,10,Obstacle
1322,22324.479296009307,Looking At,0.0,10,Obstacle
1323,22324.495317737823,Looking At,0.0,10,Obstacle
1323,22324.517717640167,Looking At,0.0,10,Obstacle
1324,22324.541063587432,Looking At,0.0,10,Obstacle
1326,22324.576204578643,Looking At,0.0,10,Obstacle
1326,22324.593614856964,Looking At,0.0,10,Obstacle
1328,22324.612154285674,Looking At,0.0,10,Obstacle
1328,22324.637163440948,Looking At,0.0,10,Obstacle
1348,22325.135256092315,Intercepted,0.0,10,Obstacle
1566,22328.65846471048,Experiment Ended,0.0,,
