Object ID,Object Speed,Interception,Recent Saccade,Time to Contact,Smoothed Recent Saccade,Smoothed Time to Contact
23,11.0,23.345916748046875,23.314443826675415,0.03147292137145996,23.129971027374268,0.21594572067260742
24,13.0,23.935272216796875,23.93173098564148,0.003541231155395508,23.89401888847351,0.04125332832336426
25,16.0,24.50347900390625,24.481889963150024,0.021589040756225586,24.481889963150024,0.021589040756225586
26,14.0,25.442352294921875,25.434454917907715,0.007897377014160156,25.369952917099,0.07239937782287598
27,17.0,26.072174072265625,26.06995940208435,0.002214670181274414,26.062538862228394,0.009635210037231445
28,17.0,26.895904541015625,26.894210815429688,0.0016937255859375,26.894210815429688,0.0016937255859375
29,19.0,27.575775146484375,27.572646379470825,0.0031287670135498047,27.44203543663025,0.13373970985412598
30,17.0,,,,,
31,15.0,29.43115234375,29.3860080242157,0.04514431953430176,29.41407585144043,0.017076492309570312
32,18.0,30.03570556640625,30.031906366348267,0.0037992000579833984,30.019675970077515,0.01602959632873535
33,12.0,31.353729248046875,31.349464893341064,0.004264354705810547,31.35309386253357,0.0006353855133056641
34,14.0,31.9630126953125,31.962152004241943,0.0008606910705566406,31.962152004241943,0.0008606910705566406
35,12.0,32.91162109375,32.777931928634644,0.13368916511535645,32.777931928634644,0.13368916511535645
36,15.0,33.497100830078125,33.46309542655945,0.03400540351867676,33.47037482261658,0.02672600746154785
37,11.0,34.746429443359375,34.744110345840454,0.0023190975189208984,34.744110345840454,0.0023190975189208984
38,11.0,35.547393798828125,35.20610499382019,0.34128880500793457,35.20610499382019,0.34128880500793457
39,18.0,,,,,
40,13.0,36.860992431640625,36.84195399284363,0.01903843879699707,36.85036301612854,0.010629415512084961
41,10.0,38.09356689453125,38.09155535697937,0.002011537551879883,38.06616950035095,0.02739739418029785
42,14.0,38.4151611328125,38.388237953186035,0.026923179626464844,38.41186547279358,0.0032956600189208984
43,10.0,39.742279052734375,39.72801351547241,0.01426553726196289,39.740121364593506,0.0021576881408691406
44,13.0,40.069061279296875,40.037938833236694,0.031122446060180664,39.80409002304077,0.2649712562561035
45,10.0,41.35430908203125,41.31763482093811,0.03667426109313965,41.31763482093811,0.03667426109313965
46,15.0,41.56060791015625,41.54837203025818,0.012235879898071289,41.52997636795044,0.030631542205810547
47,10.0,42.967620849609375,42.81396794319153,0.15365290641784668,42.81396794319153,0.15365290641784668
48,16.0,,,,,
49,13.0,44.08709716796875,44.04211187362671,0.044985294342041016,44.00210404396057,0.08499312400817871
50,17.0,44.661834716796875,44.64681601524353,0.015018701553344727,44.62995100021362,0.03188371658325195
1,16.0,,,,,
2,14.0,6.0934906005859375,6.091919898986816,0.0015707015991210938,6.058413028717041,0.035077571868896484
3,15.0,6.808258056640625,6.78453803062439,0.02372002601623535,6.807410955429077,0.0008471012115478516
4,15.0,7.674003601074219,7.6558098793029785,0.018193721771240234,7.639777898788452,0.0342257022857666
5,12.0,8.78326416015625,8.769943952560425,0.013320207595825195,8.394295930862427,0.38896822929382324
6,16.0,9.221107482910156,9.214088439941406,0.00701904296875,9.217977046966553,0.0031304359436035156
7,19.0,9.858993530273438,9.7640700340271,0.09492349624633789,9.7640700340271,0.09492349624633789
8,13.0,11.011283874511719,11.007895946502686,0.003387928009033203,11.007895946502686,0.003387928009033203
9,11.0,12.157173156738281,12.117979526519775,0.03919363021850586,11.976036548614502,0.1811366081237793
10,13.0,12.670074462890625,12.637470960617065,0.03260350227355957,12.580626964569092,0.0894474983215332
11,19.0,13.083541870117188,13.045938491821289,0.03760337829589844,13.054069519042969,0.02947235107421875
12,19.0,13.890586853027344,13.888167381286621,0.0024194717407226562,13.869827032089233,0.02075982093811035
13,11.0,15.344223022460938,15.330317974090576,0.013905048370361328,14.779962062835693,0.5642609596252441
14,18.0,15.567390441894531,15.556126356124878,0.01126408576965332,14.779962062835693,0.7874283790588379
15,14.0,16.64136505126953,16.631908416748047,0.009456634521484375,16.61191701889038,0.02944803237915039
16,14.0,17.428207397460938,17.41982936859131,0.008378028869628906,17.206084489822388,0.2221229076385498
17,17.0,,,,,
18,18.0,18.8056640625,18.79617953300476,0.009484529495239258,18.78486204147339,0.020802021026611328
19,15.0,19.799423217773438,19.7879638671875,0.0114593505859375,19.702052354812622,0.09737086296081543
20,17.0,20.48072052001953,20.47801399230957,0.0027065277099609375,20.47801399230957,0.0027065277099609375
21,14.0,21.522994995117188,21.520256996154785,0.0027379989624023438,21.520256996154785,0.0027379989624023438
22,13.0,22.370872497558594,22.366434335708618,0.004438161849975586,22.358779907226562,0.01209259033203125
